,sentiment,negative_reason,text
59,Negative,Scandal,b warren kinsella twitter promot andrew scheer fake scandal justin trudeau hard believ scheer also hire kinsella launch smear campaign trudeau n n cdnpoli elxn43
60,Negative,Climate Problem,b sad realiti peopl legitim support climatechang trudeau simpli use relect tool line pocket asset mngmt nteam econom advisor pocket one well other n cdnpoli elxn43
61,Negative,Tell lies,b look stress ralli get excit parti leader record futur futur sorri weak parti leader use lie disinform baseless attack cut hurt us elxn43 n n
62,Negative,Others,b model would requir lib deal bloq would interest clearli trudeau coy bill21 make sens elxn43
63,Negative,Climate Problem,b hey sun eye afraid much plu kid young vote f ck em embraceglobalwarm makealbertaoceanfrontproperti elxn43 abpoli
64,Negative,Climate Problem,b comment china belt road project mr oberg none competitor nation care climatechang market share greta hang w ppl want bring govern comment ableg abpoli cdnpoli elxn43
65,Negative,Others,b even american support yankeedoodleandi n n elxn43 cdnpoli
66,Negative,Others,b agre card tabl still know coalit investig snc lavalin transmountain sale tax home non disclosur agreement liber platform cost per trudeau direct trudeaumustgo cdnpoli elxn43
67,Negative,Scandal,b get total agre n nanyon vote cpc know vote corrupt perk detriment n n cdnpoli elxn43 nocpc n abc countryoverparti
68,Negative,Scandal,b hope peopl vote earli today revel parti hire wk smear ppc make wonder els done robocal bc fake news social media seem low scheerdisast drop elxn43
69,Negative,Others,b revel realli naiv n npolit contact sport win go home n nfrankli know would wast time amp money ppc poll 2 margin error mean 0 n n elxn43
70,Negative,Scandal,b ye allow mp come forward right said would vote legisl would expect caucu happen virtual imposs nbut continu fear monger seem left n scheer4pm n elxn43
71,Negative,Tell lies,b pretti sure ppc set shell parti set attract kookiest cpc base ppc also seem commit normal extrem right wing ideal peopl fell ppc support overtonwindow cdnpoli elxn43
72,Negative,Others,b heartwarm midst nasti elxn43 come togeth agre kinsella worm kinsellag cdnpoli
73,Negative,Scandal,b own whose mission advanc conserv agenda canada misl cdnpoli elxn43 amp show true tactic today ppc scandal still wait respons chang posit
74,Negative,Scandal,b news site realli endors candid everyon know think prais scheer elxn43
75,Negative,Tell lies,b everyth say lie n nfigur parti ride best chanc beat far right parti support n nwe need trump 2 0 canada n n elxn43 scheerli
76,Negative,Tell lies,b trudeauesqu mr scheer obviou tell n n peoplespartyofcanada n choosemaxim n ppc2019 n elxn43 n cdnelxn2019
77,Negative,Others,b cdnelxn2019 elxn43 pleas retweet elect buffoon anoth term
78,Negative,Tell lies,b someon lack educ absenc honesti dearth transpar becom pm n n n n elxn43 scheergrift
79,Negative,Others,b time accept lost n ncanadian valu true conserv libertarian principl need take strong look principl platform run platform year n n cdnpoli elxn43
80,Negative,Economy,b dead coal worldwid region boom econom ableg abpoli cdnpoli elxn43
81,Negative,Others,b prepar mr premier like number chang satisfact feder ndp amp feder liber n cdnpoli elxn43
82,Negative,Scandal,b oh cpc deloitt count ballot destroy prevent recount n nhe claim pipelin ish meet un target n nhe danger rememb non bind 180 4 day n nnow immig lib n ppc2019 n elxn43
83,Negative,Scandal,b far right control pr govern someth wrong countri societi system govern far right parti would like govern first past post cdnpoli elxn43
84,Negative,Scandal,b kinsellag get pri open n nwe known sinc start money back coordin libconsmear peoplesparti n n cdnpoli elxn43 n
85,Negative,Scandal,b hey rob media made clear okay call nazi report ppc elxn43 cdnmedia
86,Negative,Scandal,b uspoli cdnpoli pnpcbc ukpolit auspol polcan eupol nzpol ctvpp elxn43 stori raqqa rosi want tell canadian root isi amp al qaeda terrorist syria 24 7 year
87,Negative,Scandal,b nyou mere paid shill lpc serial apologist nyou even tri hide bia continu polici employ partisan cheerlead call report n witherjourn n n elxn43 cdnpoli
88,Negative,Scandal,b concern media union monopoli hire elect destroy parti n cdnpoli elxn43
89,Negative,Scandal,b arent suppos neutral journalist tweet cpc guess taken run futur debat etc disappoint cbc certainli watch cbc elxn43
90,Negative,Others,b knock knock nwho nwarren nwarren nwarren guy bitch slap ironi n nkinsella amp associ help help oppon n n ironi karma elxn43 polcan
91,Negative,Others,b cdnpoli scheer could make ppc mad max seem like victim cpc dude definit readi govern elxn43
92,Negative,Scandal,b question truli keen know time moder debat know litig name forthcom also lawsuit come allow cover elect night cdnpoli elxn43 lpc cpc
93,Negative,Women Reproductive right and Racism,b languag con use around debat impli noth new improv right done either abort access care depend live access right n elxn43 cdnpoli canadavot
94,Negative,Scandal,b still report embroil lawsuit cpc man hope get landslid amp immedi defundcbc tire pay nose fund lazi ass scheer4pm bluewav elxn43
95,Negative,Women Reproductive right and Racism,b open mani racist canada campaign manag sell point tragic cdnpoli elxn43 scheerdisast
96,Negative,Economy,b major canadian work hard pay tax balanc financ n nhow mani otherwis respons peopl throw brain come elect time n n elxn43 cdnpoli
97,Negative,Others,b cdnpoli elxn43 n nwasn work green awhil clandestin work conserv asham well conjectur know thorn trudeau side durat
98,Negative,Scandal,b wherea point also see last minut desper effort elxn43 divid individu nation within nation last minut desper attempt done littl indigen peopl nim debat kinsella say approach horrid
99,Negative,Separation,b honestli let qu xc3 xa9bec separ let western canada separ let rest figur put end alway fail experi known canada ever unifi elxn43 cdnpoli
100,Negative,Tell lies,b ask 23 time answer n nshe talk polici delay program til night ballot blame cpc n nand see hire liar affect polit system ask n n cdnelxn2019 elxn43 cbc scheerli
101,Negative,Scandal,b ctv bia turn cbc bia yellow journal gradual could bare notic elxn43 cdnpoli
102,Negative,Others,b mr scheer lesson parliament work much learn littl time pleas complet remain modul write insur broker licens sinc still make claim websit n elxn43 cdnpoli
103,Negative,Scandal,b gotta say hard believ andrew scheer amp conserv also hire warren kinsella creat fake scandal attack trudeau especi sinc kinsella promot fake scandal twitter n n cdnpoli elxn43
104,Negative,Tell lies,b unexpect late campaign con histori pander que separatist bq late game resurg probabl con would give farm stay power amp give bq anyth want cdnpoli elxn43
105,Negative,Tell lies,b suppos believ lol come parti amp leader main claim fame lie trudeaumustgo elxn43
106,Negative,Others,b incorrect studi univers knew 1990 even earlier read scienc read differ tip point may alreadi reach due feedback loop elxn43 votebrav votegreen
107,Negative,Tell lies,b bash entir campaign yet will help form govern intent mr trudeau best integr brought begin elxn43 cpc cdnpoli
108,Negative,Economy,b admit destroy canada industri sector trudeau canadian vote someon care noth canada resourc amp worker cdnpoli onpoli elxn43 neverndp trudeaumustgo scheer4pm
109,Negative,Women Reproductive right and Racism,b look wors amp wors outright lie style trudeau say scheer support women right choos scheer stood time amp time amp confirm support cdnpoli elxn43 neverndp
110,Negative,Women Reproductive right and Racism,b ameen trudeau get away support racist shit quebec even bernier propos bill21 style hijab ban trudeau give quebec anyth ask quebec ask concentr camp trudeau ensur snc lavalin get contract elxn43 cdnpoli
111,Negative,Tell lies,b omg watch liber paid ad claim nurs student n nand think moral high ground point finger yell liar anyon els n nyou complet lie hypocrit n n cndpoli elxn43
112,Negative,Climate Problem,b ye logist king time war crime let seriou lot stake caviar purchas n ni believ given pass climat n n elxn43 hongkongbasiclaw trudeaumustgo
113,Negative,Climate Problem,b funni build pipelin china build coal train cdnpoli elxn43
114,Negative,Economy,b xe2 x80 x9ci want fight quebec quebec xe2 x80 x9d say alberta xe2 x80 x99 economi problem declin oil ga industri go pay quebec 13 billion transfer payment canada still countri cdnpoli canpoli elxn43 elxn2019
115,Negative,Scandal,b xf0 x9f x87 xa8 xf0 x9f x87 xa6 kinsella consult firm work seekanddestroy bernier ppc parti document say cbc news xf0 x9f x8d x81 cdnelect cdnpoli voteoct21 cdnvoter itsourvot elxn43 canadaelection2019 electionday2019 berniern ppc2019 peoplesparty2019
116,Negative,Tell lies,b xf0 x9f x8e xb5water goe n lie come n cpc xf0 x9f x8e xb5 n n cdnpoli elxn43
117,Negative,Tell lies,b month ago mute got sick lie forc timelin n nand three day elxn43 unmut otherwis struggl keep lie pace scale frankli impress
118,Negative,Scandal,b lot pundit take easi way elect ugli devis side n nthey gutless conserv made elect ugli devis cdnpoli elxn43
119,Negative,Others,b preview justin trudeau utopia canadian dictatorship polic state cdnpoli fauxfeminist elxn43
120,Negative,Others,b also parti platform terribl maxim radic march pride parad elxn43
121,Negative,Scandal,b also kinsella licens law societi ontario counter profession code conduct particip someth underhand breach misconduct profession say elxn43
122,Negative,Others,b american outfit postmedia endors scheer american n ndidn see one come xf0 x9f x98 x82 n n cdnpoli elxn43
123,Negative,Others,b elect time discuss seriou issu kim campbel n n cdnpoli elxn43
124,Negative,Scandal,b immigr lawyer provid us evid widespread immigr fraud n ntrue north report cdnpoli elxn43 n n
125,Negative,Others,b talk blackfac unseri leader god hope alter stage fear n nif somehow jt caus stop could vote minut complicit mccallum barton comfort evil ccp xf0 x9f x87 xa8 xf0 x9f x87 xb3 n n elxn43 trudeaumustgo
126,Negative,Privilege,b andrew scheer think everyon small busi owner mail reduc feder regul 25 cra sound like protect averag person rocket scienc tax n elxn43
127,Negative,Separation,b andrew scheer justin trudeau sow seed divis amp hate countri amp fit lead n nreport paid kinsella sow seed divis amp hate n nscheer would like plead 5th oh shit canada declin answer n n elxn43 cdnpoli
128,Negative,Others,b andrew scheer conserv spiral control n nif conserv support want 4 year justin trudeau time lend ndp vote n n elxn43 cdnpoli
129,Negative,Others,b andrew scheer choic go kill win seat ppc live continu hurt scheer chanc big job 18 month n nthi play elxn43 elxn44 n n
130,Negative,Women Reproductive right and Racism,b andrew scheer lie say revisit abort issu women right erod conserv non monday octob 21 vote liber vote women right prochoic cdnpoli elxn43 n via
131,Negative,Tell lies,b andrew scheer platform consist bring manufactur lie mass audienc mass media rise tide dishonesti banal ignor mass media allow serial liar tri make voter identifi elxn43 n
132,Negative,Scandal,b andrew sneer n nandrew smear n ni know scheer spell wrong wors engin wire built wrong wrong n ni realli like strategi tactic polici n n chooseforward cdnpoli cdnelxn2019 elxn43
133,Negative,Women Reproductive right and Racism,b anoth expos scheer conserv fraudul contrari claim abid canadian abort law allow anti abort group recruit staff new con mp secretli plan member anti abort vote defund cdnpoli elxn43
134,Negative,Tell lies,b anoth lie morn said support lgbt right scheer publicli state dozen time amp uphold right liar neverndp cdnpoli elxn43 scheer4pm
135,Negative,Separation,b elxn43 get closer find wonder becam divid rememb dislik chretien martin dion ignatieff quit like layton amp mulcair amp rememb broadbent particularli unlik ni old amp cynic someth wrong canada
136,Negative,Others,b least ensur voldemort possibl hire hey wait green hire weird defect stori cdnpoli elxn43 chooseforward
137,Negative,Tell lies,b point elxn43 probabl safe say scheer might complet unawar everi 5th syllabl mouth blatant lie xe2 x80 x94 matter one iota probabl gonna win monday anyway n n cdnpoli
138,Negative,Scandal,b bernier file complaint elect watchdog secret campaign scheer conserv parti smear parti elxn43
139,Negative,Others,b blackfac trudeau secret flight u pay nice dogdamn member fraudul canadian media hound n nwe defraud watchdog media independ public servic canada comprom n n elxn43 n
140,Negative,Scandal,b trudeau make rich mani big sharehold tie liber govern n ngerri butt wife appoint aphria board latest 300 000 annual director fee n neveryth trudeau enrich liber insid n n elxn43 cdnpoli
141,Negative,Tell lies,b pleas address lie parti polici law restrict campaign chit chat wtf far heard much con elxn43
142,Negative,Others,b pleas get someon better clown run offic four major parti elect tell ppc absolut shit n n elxn43 cdnpoli
143,Negative,Economy,b canadian know polit asid elect victori realli win right steal taxpay degre one win degre one steal blood vampir n nbat simpl n n corruptiondwarfsclimatechang elxn43 cdnpoli
144,Negative,Separation,b challeng time justin trudeau watch bloc risen ash talk separ air alberta cdnpoli elxn43 ableg
145,Negative,Tell lies,b check 83 year old mother 86 year old father elxn43 live lachin quebec n nmad trudeau feel ottawa wast much money howev like scheer either say lie much n nlean toward vote time n n cdnpoli
146,Negative,Economy,b cite one polici measur specif trudeau last 4 year govern directli increas gdp employ prevail econom orthodoxi monetar predat trudeau allow even tax spend liber cdnpoli elxn43
147,Negative,Scandal,b conserv leader andrew scheer refus say whether parti hire consult firm attack peopl parti canada cdnpoli elxn43
148,Negative,Scandal,b cpc partisan trudeau uneth must go n nsame partisan care scheer paid 3rd parti undermin anoth parti campaign campaign blood sport n nand let forget cpcldr phantom ballot n n cdnpoli elxn43 ppc
149,Negative,Scandal,b cpc put press releas ask trudeau would answer question knew repuls smear see thread yet scheer answer question work pay man involv push defamatori campaign elxn43 cdnpoli
150,Negative,Scandal,b cpc hire voldemort gin racist content bernier make support seem wors cpc support nearli work cdnpoli elxn43
151,Negative,Scandal,b ctv news scheer say conserv hire consult destroy peopl parti n nwhat fuck snake cdnpoli elxn43 n
152,Negative,Climate Problem,b dear guy plan fund spendapalooza kill alberta let guess huge increas climat problem hst other like tax home sale elxn2019 elxn43
153,Negative,Tell lies,b realiz ndp surg even come close surpass best poll weird cdnpoli elxn43
154,Negative,Women Reproductive right and Racism,b believ promis open abort debat noth scheerli elxn43 n chooseforwardwithtrudeau
155,Negative,Scandal,b 20 000 fine appli nscheer say conserv hire consult destroy peopl parti n elxn43
156,Negative,Others,b stop n n cdnpoli elxn43
157,Negative,Climate Problem,b environ amp climat chang squeez usual econom issu top voter concern yet littl substanc offer campaign except green parti leader canpoli elxn43 elxn2019
158,Negative,Others,b even cpc realiz unfit lead canada canadian know kinsellag undermin elxn43 surpris lead violenc quot let countri fall hand bunch anim
159,Negative,Tell lies,b even facebook fake news finder label buffalo websit bogu trust buffalo chronic stupid vote elxn43 via
160,Negative,Economy,b even rich know keep let current legal articl jon mcphedran waitzer clair trottier david gray donald extrem wealthi canadian n nit time actual tax rich n n yqg cdnpoli elxn43 n
161,Negative,Tell lies,b even scheer dual citizenship issu green leader elizabeth may still given us citizenship away n nwhat els hide voter n nabsolut xf0 x9f x94 xa5 n n cdnpoli elxn43 n n
162,Negative,Tell lies,b expo xc3 xa9 peopl concern respect women right scheer con con choic use anti abort group recruit mp staff critic polici format cdnpoli elxn43 cpc19
163,Negative,Scandal,b ff mani question ask 600mill media payoff 1 2 23 canadian know media bite hand feed elxn43 cdnpoli zerocred
164,Negative,Scandal,b frankli think cpc need hire consult firm smear sad sack racist loser pretti damn good job cdnpoli elxn43
165,Negative,Climate Problem,b get teamtrudeau campaign cargo air mile still n noctob 19 flight 3 day toronto yyz back montreal ymx n nso far today burn littl 7 000 litr jet fuel n n twoplanetrudeau xe2 x9c x88 xe2 x9c x88 cdnpoli elxn43
166,Negative,Others,b get bent shape polit consult help polit parti ridicul particularli arm length conflict interest kickback vendor endem canadian polit ecosystem databas worst cdnpoli elxn43
167,Negative,Others,b good read expert disput cpc leader claim gentl remind research stay inform ahead elxn43 n
168,Negative,Healthcare,b healthcar life support yet absent elect time hold feder parti leader account n n elxn43 cndpoli healthcar n
169,Negative,Women Reproductive right and Racism,b list 67 conserv candid vote women xe2 x80 x99 reproduct right ncanada biggest anti abort organ say offici endors one five conserv candid elxn43
170,Negative,Others,b one real world effect coordin attack n n kinsellag ppc2019 peoplesparti cdnpoli elxn43
171,Negative,Others,b hi stacey approach secur lineup ralli told allow explan given elxn43
172,Negative,Others,b hi n nmi name grant know shut cheesepip pleas prop share price next quarter dividend n noh yeah liber suck n nkthxbye n n abpoli cdnpoli n elxn43
173,Negative,Women Reproductive right and Racism,b histori warren kinsella racism n nhe joke chines restaur visit serv cat meat n nhe use black citizen prop lie john tori polici n nhe use black femal conserv prop lie patrick brown n nhe conman n n cdnpoli elxn43
174,Negative,Climate Problem,b honestli main reason support cpc anymor carbonpr vote monday elxn43 cdnpoli
175,Negative,Others,b hooooo boy cult tear today desper set block respond cowardli xf0 x9f x99 x83 n n ye trudeau deserv lose n n cdnpoli elxn43
176,Negative,Tell lies,b reward 2015 strateg voter believ would keep promis repeal fptp nottrustinjustin elxn43 simcoenorth bsom elxn43 cdnpoli singhupsw uprisingh
177,Negative,Others,b humber river black creek prepar cast vote come monday keep mind incumb show debat held osgood hall show commun debat held black creek commun health centr cdnpoli elxn43
178,Negative,Others,b know manli howev ask realli want endors like one peter mention bcpoli cdnpoli elxn43
179,Negative,Scandal,b like conserv tactic even wors fact refus bernier think libel slander peopl call xenophob encourag bring law suit n nwhich lose n nbecaus xenophob n cdnpoli elxn43
180,Negative,Tell lies,b like trudeau scheer desper lie last day sicken help win deserv despic prime minist polcan elxn43
181,Negative,Economy,b think mani gpc support horn honk mayb ring bell cdnpoli elxn43
182,Negative,Tell lies,b trust he liar evad question run campaign elxn43 chooseforward
183,Negative,Women Reproductive right and Racism,b call guy c word delet tweet stupid engag peopl like n nthi racism canada look sound like n n cdnpoli elxn43
184,Negative,Scandal,b mean mayb also hire warren kinsella dig dirt justin trudeau effect either n n cdnpoli elxn43 seekanddestroy
185,Negative,Others,b wonder nurs career go xf0 x9f x91 x87 n n cndpoli n elxn43
186,Negative,Others,b wonder trudeau milton bump help ride fight bloq think win major realli worri gta elxn43
187,Negative,Others,b wonder trudeau promis copp return twitter troll hard understand held public offic long even wors promin liber went support martinet push cdnpoli elxn43 derang
188,Negative,Scandal,b icymi part 1 seri canadian elect day go big vote campaign domin polici scandal muckrak elxn43
189,Negative,Scandal,b hate cpc candid toss ride like either speak leadership malpractic andrew scheer kinsellag risk stink permeat campaign n onpoli elxn43
190,Negative,Tell lies,b hire kinsella easi want lie outright weakandi speak truth n elxn43 n scheerdisast nscheer xe2 x80 x99t say conserv hire kinsella firm xe2 x80 x98seek destroy xe2 x80 x99 bernier xe2 x80 x99 peopl xe2 x80 x99 parti via
191,Negative,Others,b may ignor understand legal process renounc citizenship clear ignor serious taken leader n n elxn43 cdnpoli
192,Negative,Others,b case throw bu canada election2019 elxn43 cdnpoli
193,Negative,Others,b go take break twitter machin elxn43 nonsens bring man wait
194,Negative,Others,b imagin blandi scheer drink glass get bigger bigger defundcpc elxn43 kinsellout kinsellag
195,Negative,Scandal,b base base troubl n nctv news scheer say conserv hire consult destroy peopl parti n
196,Negative,Others,b remind whatev happen monday shit voter turnout even someon get 30 vote still like 15 regist voter like 10 peopl live work even major one mandat elxn43
197,Negative,Scandal,b kinsella scheer caught uneth plot destroy bernier favourit thing elxn43 like gollum leatherfac pool togeth harpoon shark jaw three taken water mine
198,Negative,Scandal,b kinsella consult firm work seek destroy bernier ppc parti document say cdnpoli elxn43
199,Negative,Scandal,b kinsella consult firm work seek destroy bernier ppc parti document say cbc news cdnpoli elxn43 canadavotes2019 electioncanada
200,Negative,Scandal,b kinsella consult firm work seek destroy bernier ppc parti document say cbc news elxn43
201,Negative,Scandal,b kinsella consult firm work seek destroy bernier ppc parti document say n n cpc play dirti pool n n proportionalrepresent n n cdnpoli elxn43 n n
202,Negative,Scandal,b kinsellout sell n nhe sold whole countri n n cdnpoli elxn43 nocpc n abc countryoverparti kinsella
203,Negative,Scandal,b leona alleslev face priceless n nyet perfectli know sheer capabl cross floor super secret meet hotel room mississauga n n cdnpoli election2019 elxn43 neversch
204,Negative,Others,b let get straight msm arm amp daisi group may advis cpc deal w ppc yet bat eye profoundli neg lib campaign advis us consult tr xc3 xa8 int xc3 xa9ress n est ce pa cdnmedia elxn43
205,Negative,Others,b liber desper chretien get dust amp show ottawa area ride ask chretien rememb adscam nuff said ottawasouth ottawacentr ottawa elxn43 cdnpoli polqc
206,Negative,Scandal,b lisa raitt alway rub ethic moral wrong way rememb ncancer victim outrag raitt sexi comment n elxn43
207,Negative,Others,b lisa warren kinsella hate agenda end huge fail n nandi pick winner n ni though n nppc way 2019 n n cdnpoli elxn43 ppc2019alltheway ppc
208,Negative,Scandal,b lol silli everi parti peopl look parti amp agenda news elxn43
209,Negative,Tell lies,b lot piec con puzzl republicannorth web imo like see expos time elect sinc scheer reveal much fact truth votingliber elxn43 albertadoesntneedamericaninflu n
